YearMade;WallType;RoofType;NumOfBedrooms;StovenFuelType;HeatingEquipmentType;HeatingEquipmentAge;NumOfRoomsHeated;FuelUsedForWaterHeating;WaterHeaterSize;AirConditioning;NumOfRoomsCooled;NumOfWindows;TotalSquareHeated;TotalSquareCooled;ElectricityConsumption
1983;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Small;ИСТИНА;6;20;2408;2408;30143
1951;Stucco;;-2;Electricity;Portable Electric Heaters;2-4 Years old;1;Electricity;Large;ИСТИНА;-1;20;735;735;1719
1960;Wood;Composition Shingles;4;Electricity;Steam or Hot Water System;>20 Years old;8;Natural Gas;Medium;ЛОЖЬ;-1;50;3900;0;2163
1965;Brick;;-2;Electricity;Central Warm-Air Furnace;10-14 Years old;1;Electricity;Medium;ИСТИНА;1;10;400;400;9381
1974;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Large;ИСТИНА;7;30;2042;2042;13127
1990;Siding;Composition Shingles;3;Electricity;Heat Pump;<2 Years old;6;Electricity;Small;ИСТИНА;6;41;1688;1688;20510
2008;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;None;ИСТИНА;5;41;935;935;6994
1955;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;30;1310;1310;5433
1920;Brick;;-2;Electricity;Steam or Hot Water System;15-19 Years old;1;Natural Gas;Large;ИСТИНА;1;30;344;344;4601
1920;Wood;Composition Shingles;3;Electricity;Steam or Hot Water System;10-14 Years old;7;Fuel Oil;Small;ИСТИНА;-1;41;1817;1091;8572
1954;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;5;Natural Gas;Large;ИСТИНА;5;41;1176;1176;11196
1920;Brick;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Large;ЛОЖЬ;-1;30;844;0;1959
2006;Brick;Composition Shingles;5;-;Heat Pump;2-4 Years old;10;Natural Gas;Medium;ИСТИНА;10;50;6550;6550;11100
1988;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;2-4 Years old;8;Natural Gas;Medium;ИСТИНА;8;41;3502;3502;8075
1950;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;2-4 Years old;5;Electricity;None;ИСТИНА;5;30;834;834;21857
1997;Siding;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Natural Gas;Medium;ИСТИНА;3;20;960;960;3319
2006;Wood;;2;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Electricity;Medium;ИСТИНА;4;20;1167;1167;6398
1965;Siding;Wood Shingles;3;Electricity;Heating Stove;10-14 Years old;8;Solar;Large;ЛОЖЬ;-1;41;2880;0;7345
2002;Stucco;Concrete Tiles;3;Electricity;Heating Stove;5-9 Years old;4;Natural Gas;Large;ИСТИНА;7;41;982;1718;13648
1986;Stucco;Asphalt;3;Electricity;Heat Pump;2-4 Years old;8;Electricity;Medium;ИСТИНА;8;41;2732;3132;11963
1990;Siding;Asphalt;5;Electricity;Central Warm-Air Furnace;15-19 Years old;10;Natural Gas;Medium;ЛОЖЬ;-1;41;3074;0;6253
1988;Brick;;1;Electricity;Central Warm-Air Furnace;>20 Years old;3;Fuel Oil;None;ИСТИНА;3;20;596;596;2818
1991;Siding;Asphalt;4;Natural Gas;Central Warm-Air Furnace;15-19 Years old;9;Natural Gas;Large;ИСТИНА;9;50;2263;2263;20742
1979;Brick;Composition Shingles;3;Natural Gas;Floor or Wall Pipeless Furnace;5-9 Years old;7;Natural Gas;Large;ИСТИНА;-1;41;1680;720;3255
1969;Siding;Asphalt;4;Electricity;Steam or Hot Water System;2-4 Years old;3;Electricity;Large;ЛОЖЬ;-1;42;526;0;17506
1996;Siding;Composition Shingles;5;Electricity;Central Warm-Air Furnace;10-14 Years old;10;Natural Gas;Medium;ИСТИНА;10;50;2830;2120;17821
1986;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ЛОЖЬ;-1;20;1316;0;5606
1949;Siding;Asphalt;4;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;-1;41;1690;1127;11823
1970;Concrete;Concrete Tiles;3;Electricity;Central Warm-Air Furnace;<2 Years old;6;Electricity;None;ИСТИНА;6;41;1500;1500;14770
1975;Wood;;2;-;Built-In Room Heater;>20 Years old;3;Natural Gas;Medium;ЛОЖЬ;-1;20;605;0;1977
1960;Siding;Composition Shingles;2;Electricity;Built-In Electric Units;2-4 Years old;6;Electricity;Medium;ИСТИНА;-1;42;900;450;13008
1986;Stucco;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Electricity;Medium;ИСТИНА;3;10;642;642;6742
2002;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Large;ИСТИНА;7;41;3155;1433;15502
1978;Wood;Asphalt;3;-;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;None;ИСТИНА;6;41;2512;2512;13974
1992;Stucco;Ceramic or Clay Tiles;4;Natural Gas;Central Warm-Air Furnace;15-19 Years old;7;Natural Gas;Medium;ЛОЖЬ;-1;50;2620;0;4787
1950;Brick;Wood Shingles;3;Electricity;Built-In Electric Units;>20 Years old;3;Electricity;Medium;ЛОЖЬ;-1;30;690;0;18577
2007;Brick;Composition Shingles;5;Electricity;Central Warm-Air Furnace;2-4 Years old;8;Electricity;Large;ИСТИНА;8;50;2560;2560;27406
1965;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;2320;2320;10317
1990;Wood;;1;Electricity;Portable Electric Heaters;<2 Years old;2;Propane/LPG;Large;ЛОЖЬ;-1;30;439;0;4950
1985;Siding;Metal;2;Electricity;Built-In Electric Units;>20 Years old;4;Electricity;Medium;ИСТИНА;5;41;784;980;14137
1979;Brick;Composition Shingles;5;Natural Gas;Central Warm-Air Furnace;2-4 Years old;10;Natural Gas;Large;ИСТИНА;6;42;1370;599;12734
1974;Stucco;Composition Shingles;3;Natural Gas;Floor or Wall Pipeless Furnace;>20 Years old;6;Natural Gas;Large;ИСТИНА;-1;20;1310;218;11426
1970;Siding;Composition Shingles;2;Electricity;Other Equipment;>20 Years old;4;Electricity;Medium;ЛОЖЬ;-1;20;900;0;10611
1968;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Large;ИСТИНА;7;42;1666;1944;18038
1987;Stucco;Concrete Tiles;5;-;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Large;ИСТИНА;9;50;3951;3951;9199
1940;Brick;Asphalt;2;-;Steam or Hot Water System;>20 Years old;5;Fuel Oil;Large;ЛОЖЬ;-1;30;1029;0;4045
1959;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1920;1920;2501
1998;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Electricity;Small;ИСТИНА;4;30;1606;1606;12694
1988;Brick;Composition Shingles;3;Electricity;Heat Pump;>20 Years old;6;Electricity;Large;ИСТИНА;6;30;1820;1820;23075
1949;Siding;Asphalt;4;Electricity;Floor or Wall Pipeless Furnace;>20 Years old;8;Fuel Oil;Medium;ИСТИНА;-1;42;3104;1940;13744
1980;Siding;Asphalt;3;Propane/LPG;Central Warm-Air Furnace;>20 Years old;5;Electricity;Medium;ИСТИНА;5;41;1235;1235;21156
2004;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Small;ИСТИНА;6;41;1680;1680;12322
1990;Stucco;Ceramic or Clay Tiles;3;Electricity;Central Warm-Air Furnace;<2 Years old;8;Electricity;Large;ИСТИНА;8;50;3126;3126;28063
1950;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;1104;1104;10333
1980;Composition;Composition Shingles;4;Electricity;Central Warm-Air Furnace;2-4 Years old;10;Natural Gas;Large;ИСТИНА;9;42;3012;2072;15635
1980;Brick;Wood Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;7;Electricity;Medium;ИСТИНА;7;30;3179;1802;13820
1980;Stucco;Asphalt;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Electricity;Large;ИСТИНА;5;30;2234;2234;10081
1984;Siding;Metal;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Electricity;Medium;ИСТИНА;-1;30;966;483;10134
1974;Brick;;2;Natural Gas;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Large;ИСТИНА;-1;41;983;492;3970
1978;Siding;;1;Electricity;Built-In Electric Units;2-4 Years old;2;Electricity;Small;ЛОЖЬ;-1;20;538;0;6867
2001;Brick;Asphalt;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;8;Natural Gas;Medium;ИСТИНА;8;42;2336;2336;7549
1959;Siding;Asphalt;3;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Large;ИСТИНА;6;41;1976;1976;5614
1952;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Large;ИСТИНА;6;20;1976;1838;14664
1920;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;10-14 Years old;5;Natural Gas;Small;ИСТИНА;5;30;1896;1896;9899
1925;Brick;Asphalt;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1139;1139;11437
1946;Siding;Composition Shingles;4;Natural Gas;Steam or Hot Water System;10-14 Years old;10;Fuel Oil;Medium;ЛОЖЬ;-1;42;3352;0;2133
1950;Stucco;Composition Shingles;2;Natural Gas;Portable Electric Heaters;2-4 Years old;3;Natural Gas;Large;ИСТИНА;-1;30;608;203;2223
1979;Brick;Composition Shingles;3;-;Central Warm-Air Furnace;>20 Years old;6;Electricity;Medium;ИСТИНА;4;30;4998;3332;14225
1980;Stucco;;1;Natural Gas;Floor or Wall Pipeless Furnace;>20 Years old;1;Natural Gas;Large;ИСТИНА;-1;41;172;172;2831
1920;Wood;Metal;4;Propane/LPG;Other Equipment;10-14 Years old;4;Propane/LPG;Medium;ЛОЖЬ;-1;30;1013;0;5635
1951;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Small;ИСТИНА;4;30;689;689;7452
1998;Siding;Metal;2;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Natural Gas;Medium;ИСТИНА;3;20;1080;1080;9083
1972;Brick;;1;Electricity;Steam or Hot Water System;5-9 Years old;3;Natural Gas;Large;ИСТИНА;-1;20;358;119;2579
1972;Siding;Composition Shingles;5;Electricity;Central Warm-Air Furnace;10-14 Years old;9;Natural Gas;Medium;ИСТИНА;9;41;2292;2292;31634
1985;Stucco;;2;Natural Gas;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Medium;ИСТИНА;4;20;932;932;4225
1950;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;41;1808;0;10400
1973;Concrete;;1;Electricity;Built-In Electric Units;>20 Years old;3;Natural Gas;Medium;ИСТИНА;-1;10;700;467;5049
1993;Stucco;Wood Shingles;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Electricity;Medium;ИСТИНА;4;30;1200;1200;18471
2007;Stucco;Other;3;Other Fuel;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Medium;ЛОЖЬ;-1;41;1461;0;4261
1950;Brick;;2;Natural Gas;Built-In Electric Units;>20 Years old;4;Fuel Oil;Medium;ИСТИНА;-1;30;956;239;5820
1940;Brick;;2;Natural Gas;Steam or Hot Water System;2-4 Years old;5;Natural Gas;Large;ИСТИНА;-1;30;894;536;6381
1976;Brick;;1;Electricity;Central Warm-Air Furnace;15-19 Years old;4;Electricity;Small;ИСТИНА;4;20;672;672;8274
1991;Brick;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;1946;1946;7683
1995;Siding;Asphalt;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;8;Natural Gas;Large;ИСТИНА;8;42;3220;3220;12067
1978;Siding;Metal;2;Electricity;Built-In Room Heater;<2 Years old;4;Electricity;Small;ИСТИНА;4;30;720;720;13733
1990;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Electricity;Medium;ИСТИНА;6;30;1867;1867;14273
1998;Stucco;;2;Electricity;Central Warm-Air Furnace;<2 Years old;5;Electricity;Medium;ИСТИНА;5;30;1318;1318;4971
1978;Stucco;Ceramic or Clay Tiles;2;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Large;ЛОЖЬ;-1;30;1321;0;3496
2003;Siding;Composition Shingles;3;-;Steam or Hot Water System;5-9 Years old;7;Fuel Oil;None;ИСТИНА;-1;42;2496;1298;10021
1990;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Small;ИСТИНА;7;30;1630;1630;24859
1970;Siding;Other;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Small;ИСТИНА;-1;41;840;168;7857
1946;Wood;Composition Shingles;2;Natural Gas;Built-In Room Heater;>20 Years old;3;Natural Gas;Small;ЛОЖЬ;-1;41;797;0;1877
1970;Brick;Composition Shingles;1;Natural Gas;Built-In Electric Units;>20 Years old;2;Electricity;Medium;ИСТИНА;-1;10;830;415;7689
1920;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;12;Natural Gas;Medium;ИСТИНА;12;60;2958;2934;16157
1968;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;5;Electricity;Large;ИСТИНА;-1;41;1640;984;19050
1929;Stucco;Asphalt;2;Electricity;Fireplace;>20 Years old;5;Electricity;None;ИСТИНА;5;41;1050;1050;16357
1928;Stucco;Composition Shingles;2;Natural Gas;;Not Applicable;-2;Natural Gas;Small;ЛОЖЬ;-1;41;0;0;5083
1920;Wood;Composition Shingles;3;Electricity;Steam or Hot Water System;>20 Years old;7;Fuel Oil;Large;ИСТИНА;-1;42;1616;228;4431
2004;Brick;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Medium;ИСТИНА;9;42;1804;1804;16183
1920;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Propane/LPG;Medium;ИСТИНА;3;41;1727;1036;16449
1975;Wood;Metal;3;Electricity;Portable Electric Heaters;<2 Years old;3;Electricity;Large;ИСТИНА;-1;20;1286;857;15173
1994;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;5;Electricity;Medium;ИСТИНА;5;30;1125;1125;13835
1979;Stucco;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;None;ИСТИНА;5;30;1556;1556;3518
1956;Siding;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;<2 Years old;7;Natural Gas;Small;ИСТИНА;-1;41;2500;857;6278
1986;Stucco;Composition Shingles;3;-;Central Warm-Air Furnace;2-4 Years old;7;Natural Gas;Medium;ИСТИНА;7;30;2372;2372;5531
1950;Wood;Asphalt;2;Electricity;Built-In Electric Units;>20 Years old;5;Electricity;Medium;ЛОЖЬ;-1;30;750;0;22442
1920;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;<2 Years old;7;Electricity;Medium;ИСТИНА;7;42;2160;2160;11166
1959;Siding;Asphalt;3;Electricity;Steam or Hot Water System;2-4 Years old;7;Fuel Oil;None;ИСТИНА;7;41;1411;1411;4904
1950;Stucco;Composition Shingles;1;Natural Gas;Built-In Room Heater;<2 Years old;3;Natural Gas;Small;ЛОЖЬ;-1;30;803;0;1943
1952;Stucco;Composition Shingles;4;Natural Gas;;>20 Years old;-2;Natural Gas;Medium;ЛОЖЬ;-1;50;0;0;13981
1966;Brick;Asphalt;3;-;Built-In Electric Units;>20 Years old;5;Natural Gas;Large;ИСТИНА;-1;41;2106;421;5582
1995;Siding;Metal;2;Electricity;Built-In Room Heater;10-14 Years old;4;Electricity;Small;ИСТИНА;4;30;980;980;7644
1920;Siding;Wood Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;-1;30;1822;364;13300
1970;Wood;Wood Shingles;2;Natural Gas;;>20 Years old;-2;Natural Gas;Large;ЛОЖЬ;-1;20;0;0;3518
1994;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;6;50;2680;2680;13975
1973;Brick;Asphalt;3;Electricity;Heating Stove;2-4 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;764;764;7189
1954;Wood;Composition Shingles;2;Electricity;Cooking Stove;2-4 Years old;4;Natural Gas;Small;ИСТИНА;-1;41;800;400;7512
1930;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;2-4 Years old;7;Natural Gas;Medium;ИСТИНА;-1;50;1491;852;6774
1957;Stucco;Composition Shingles;3;Natural Gas;Floor or Wall Pipeless Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;-1;30;1307;436;7204
1980;Brick;Wood Shingles;2;Electricity;Heat Pump;<2 Years old;4;Electricity;Medium;ИСТИНА;4;30;1001;1001;7476
2005;Stucco;Concrete Tiles;3;-;Heat Pump;5-9 Years old;8;Natural Gas;Large;ИСТИНА;8;60;4766;4766;34466
1952;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1073;1073;6260
1989;Wood;Composition Shingles;3;-;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;50;2605;2605;8894
1995;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Electricity;Medium;ИСТИНА;4;41;1617;924;14973
1979;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1136;1136;15158
1987;Brick;Composition Shingles;4;-;Central Warm-Air Furnace;10-14 Years old;8;Natural Gas;Large;ИСТИНА;8;50;3161;3161;16420
1996;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;6;Electricity;Small;ЛОЖЬ;-1;30;1248;0;14481
1990;Siding;Metal;3;Propane/LPG;Heating Stove;5-9 Years old;5;Electricity;Large;ИСТИНА;-1;41;980;196;701
1971;Wood;Asphalt;2;Electricity;Portable Electric Heaters;2-4 Years old;3;Electricity;Medium;ИСТИНА;5;41;596;994;13258
1979;Wood;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Large;ИСТИНА;6;41;1616;1280;9905
1975;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1466;1466;8622
1996;Brick;Ceramic or Clay Tiles;2;Electricity;Central Warm-Air Furnace;<2 Years old;6;Electricity;Medium;ИСТИНА;6;20;2940;2940;16065
1956;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Large;ЛОЖЬ;-1;41;738;0;7517
1956;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;-1;41;1305;522;7029
1960;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1808;1808;9427
1993;Siding;Composition Shingles;3;Propane/LPG;Heat Pump;10-14 Years old;6;Electricity;Small;ИСТИНА;6;41;1863;1863;26081
1986;Brick;;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Large;ИСТИНА;6;20;1639;1639;13470
1990;Concrete;;2;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Small;ИСТИНА;4;30;1026;1026;4067
1971;Stucco;Wood Shingles;5;Electricity;Central Warm-Air Furnace;>20 Years old;8;Natural Gas;Large;ИСТИНА;8;42;3150;3150;19593
2009;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;<2 Years old;6;Electricity;Medium;ИСТИНА;6;30;1280;1280;20071
1995;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1216;1216;9814
1920;Stucco;Composition Shingles;1;Natural Gas;Central Warm-Air Furnace;5-9 Years old;2;Natural Gas;Medium;ИСТИНА;2;30;409;409;17629
1980;Siding;;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Electricity;Small;ИСТИНА;4;20;1096;1096;14505
1920;Brick;Asphalt;2;Natural Gas;Steam or Hot Water System;<2 Years old;5;Natural Gas;Medium;ИСТИНА;-1;30;1015;406;6777
2000;Brick;;1;Natural Gas;Steam or Hot Water System;10-14 Years old;2;Natural Gas;Large;ЛОЖЬ;-1;41;478;0;1887
1983;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Electricity;Medium;ИСТИНА;4;41;1984;1984;15571
1958;Brick;Wood Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Electricity;Medium;ИСТИНА;7;50;2006;2006;22567
1998;Siding;;2;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Electricity;Small;ИСТИНА;3;20;766;766;6161
1987;Siding;Asphalt;3;Electricity;Built-In Electric Units;>20 Years old;7;Electricity;Large;ИСТИНА;5;30;1884;586;25811
2001;Siding;Asphalt;5;Electricity;Heat Pump;5-9 Years old;7;Electricity;Medium;ИСТИНА;7;42;2636;2636;19344
1950;Stucco;Composition Shingles;3;Natural Gas;Floor or Wall Pipeless Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;-1;41;1508;302;3237
1960;Concrete;Composition Shingles;2;-;Heat Pump;10-14 Years old;6;Electricity;Medium;ИСТИНА;6;42;1220;1220;9621
1945;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Medium;ЛОЖЬ;-1;30;1071;0;3028
1950;Stucco;Composition Shingles;2;Natural Gas;Floor or Wall Pipeless Furnace;>20 Years old;4;Natural Gas;Large;ЛОЖЬ;-1;30;666;0;1844
2005;Brick;Composition Shingles;2;Electricity;Heat Pump;5-9 Years old;3;Electricity;Medium;ИСТИНА;3;20;1055;1055;10965
1993;Brick;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;30;1259;1259;5751
1920;Stucco;Slate;4;Natural Gas;Steam or Hot Water System;10-14 Years old;8;Natural Gas;Medium;ИСТИНА;9;60;2985;3358;13549
1964;Wood;Composition Shingles;3;-;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;30;1208;0;6075
1967;Siding;Composition Shingles;3;Electricity;Heat Pump;<2 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1332;1332;11538
1920;Siding;Composition Shingles;3;Electricity;Steam or Hot Water System;10-14 Years old;5;Electricity;Large;ИСТИНА;-1;30;619;248;15459
1966;Wood;Asphalt;3;Electricity;Steam or Hot Water System;>20 Years old;6;Not Applicable;None;ЛОЖЬ;-1;30;1040;0;4117
2005;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Medium;ЛОЖЬ;-1;30;1800;0;10508
2005;Stucco;;1;Natural Gas;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Medium;ИСТИНА;4;10;667;667;2631
1990;Stucco;Ceramic or Clay Tiles;4;Electricity;Central Warm-Air Furnace;<2 Years old;9;Electricity;Large;ИСТИНА;9;42;4640;4640;26688
1950;Brick;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Large;ЛОЖЬ;-1;41;1350;0;8044
1964;Wood;Asphalt;3;-;Central Warm-Air Furnace;15-19 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;2820;2820;11271
1958;Siding;Asphalt;3;Natural Gas;Central Warm-Air Furnace;2-4 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;1896;1896;7003
1965;Stucco;Composition Shingles;3;Electricity;Built-In Electric Units;10-14 Years old;5;Electricity;Medium;ИСТИНА;5;30;2491;2491;22121
2006;Siding;;3;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Electricity;Small;ИСТИНА;4;20;1160;1160;12862
1996;Wood;Metal;3;Electricity;Central Warm-Air Furnace;10-14 Years old;5;Electricity;None;ИСТИНА;5;41;1437;1437;24563
1920;Siding;Composition Shingles;3;Natural Gas;Steam or Hot Water System;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;-1;41;1728;768;6139
1959;Stone;Composition Shingles;4;Natural Gas;Steam or Hot Water System;2-4 Years old;8;Natural Gas;Large;ИСТИНА;-1;42;1877;195;8046
1950;Siding;Composition Shingles;2;Natural Gas;Heating Stove;15-19 Years old;6;Natural Gas;Small;ИСТИНА;-1;30;1286;429;8234
1948;Wood;Wood Shingles;2;-;Central Warm-Air Furnace;2-4 Years old;4;Fuel Oil;None;ИСТИНА;-1;41;1080;540;4522
1920;Wood;Asphalt;2;Natural Gas;Steam or Hot Water System;>20 Years old;5;Natural Gas;Large;ИСТИНА;-1;41;748;88;3579
1991;Siding;Composition Shingles;3;Electricity;Built-In Electric Units;15-19 Years old;4;Electricity;Medium;ИСТИНА;-1;30;880;440;22822
1965;Brick;Composition Shingles;5;Electricity;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Large;ИСТИНА;7;42;2295;2295;20791
1969;Stucco;Composition Shingles;3;Natural Gas;Fireplace;>20 Years old;2;Natural Gas;Medium;ИСТИНА;-1;30;720;1080;4942
2002;Wood;Composition Shingles;3;Electricity;Built-In Electric Units;5-9 Years old;6;Electricity;Medium;ИСТИНА;-1;20;1170;195;13453
1972;Brick;Composition Shingles;3;Electricity;Heat Pump;15-19 Years old;6;Electricity;Medium;ИСТИНА;6;30;1820;1820;27328
2003;Concrete;Ceramic or Clay Tiles;4;Natural Gas;Central Warm-Air Furnace;5-9 Years old;8;Electricity;Large;ИСТИНА;8;60;5590;6240;51043
1965;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Propane/LPG;Medium;ИСТИНА;5;50;3026;3026;12871
1980;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;<2 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1800;1800;9362
2005;Brick;;1;Electricity;Central Warm-Air Furnace;2-4 Years old;3;Electricity;Medium;ЛОЖЬ;-1;41;994;0;8216
1955;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;8;Electricity;Medium;ЛОЖЬ;-1;50;1937;0;14577
2009;Siding;Asphalt;2;Propane/LPG;Central Warm-Air Furnace;<2 Years old;4;Propane/LPG;Small;ИСТИНА;4;41;1042;1042;5402
1943;Siding;Asphalt;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;50;3088;3088;13830
1994;Siding;Asphalt;4;Electricity;Central Warm-Air Furnace;2-4 Years old;7;Electricity;Large;ИСТИНА;7;41;2049;2049;17055
